"route","animal","species","type","frequency","project","recv1","recv2","lon1","lat1","lon2","lat2","dtStart","dtEnd"
"2453.2839","819,824,820","4690,4690,4690","LineString","166.3","13",2453,2839,-63.540745,45.333794,-62.55985,44.80572,2013-09-04,2013-09-05
"2453.2866","829,827,825,818,826,845","4690,4690,4690,4690,4690,4690","LineString","166.3","13",2453,2866,-63.540745,45.333794,-63.1457,44.6878,2013-08-26,2013-09-15
"2454.2454","1842,1842,1842,1842,1842,1842,1842","4690,4690,4690,4690,4690,4690,4690","LineString","166.38","59",2454,2454,-63.4127,45.3642,-63.4127,45.3642,2015-08-07,2015-08-18
"2454.3156","643","4690","LineString","166.38","15",3156,2454,-63.7477,50.1952,-63.4127,45.3642,2015-08-06,2015-08-06
"2454.3290","1842,4357","4690,16820","LineString","166.38","59,86",3290,2454,-63.5407,45.3338,-63.4127,45.3642,2015-08-07,2015-09-12
"2454.5840","4385","16820","LineString","166.38","86",2454,5840,-63.4127,45.3642,-64.3978,45.207,2015-09-23,2015-09-25
"2454.5842","1732,4357","4760,16820","LineString","166.38","38,86",2454,5842,-63.4127,45.3642,-63.9571,45.2499,2015-08-29,2015-09-21
"2454.5870","1878","4690","LineString","166.38","59",5870,2454,-65.5425,44.7219,-63.4127,45.3642,2015-07-28,2015-07-28
"2456.2456","7524,7516,7520,7516,7519,7524,7516,7519,7516,7520,7519,7524,7519,7520,7516,7518,7524,7518,7516,7520,7520,7524,7521,7516,7524,7520,7524,7524,7516,7520,7521,7521,7520,7516,7516,7521,7516,7516,7617,7516,7521,7621,7556,7621,7521,7621,7516,7520,7617,7617,7516,7560,7565,7521,7516,7516,7521,7516,7520,7524,7518,8204,7516,7525,7617,7520,7617,7617,7434,7434,7446,7446,7446,7446,7463,9168","14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,15600,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,100230","LineString","166.38","46,71,92",2456,2456,-80.31075,42.91551,-80.31075,42.91551,2016-06-03,2016-09-15
"2456.3058","6500","16600","LineString","166.38","50",3058,2456,-80.3852,42.5823,-80.31075,42.91551,2016-05-28,2016-05-28
"2456.3073","9189","100230","LineString","166.38","71",3073,2456,-81.6562,45.2574,-80.31075,42.91551,2016-09-10,2016-09-15
"2456.3074","6490,6266,6503","16620,15580,16600","LineString","166.38","35,50",3074,2456,-80.4179,42.5917,-80.31075,42.91551,2016-05-20,2016-05-27
"2456.3127","7556,7556,8656,8676,7471,8638,7465,9195,9196,8637","14250,14250,14250,14250,14250,14250,14250,100230,100230,14250","LineString","166.38","71,92",2456,3127,-80.31075,42.91551,-80.4036,42.7877,2016-07-14,2016-09-07
"2456.3190","7860","4630","LineString","166.38","47",3190,2456,-74.0896,11.1234,-80.31075,42.91551,2016-05-31,2016-06-01
"2456.3192","4520","19250","LineString","166.38","85",2456,3192,-80.31075,42.91551,-74.5417,4.3224,2016-02-21,2016-03-21
"2456.3273","7508","14250","LineString","166.38","92",3273,2456,-80.0414,43.6998,-80.31075,42.91551,2016-07-23,2016-08-02
"2456.3284","7482,7510,8635","14230,14250,14250","LineString","166.38","92",3284,2456,-80.0923,43.5197,-80.31075,42.91551,2016-06-24,2016-09-07
"2456.3735","7434,8672,8656,8647,8638,8632,9185","14250,14250,14250,14250,14250,14250,100230","LineString","166.38","71,92",3735,2456,-80.012,43.4429,-80.31075,42.91551,2016-08-07,2016-09-15
"2456.3762","4528","19250","LineString","166.38","85",2456,3762,-80.31075,42.91551,-81.1558,43.661,2016-03-05,2016-03-11
"2456.3962","7091,7053,7617,6211,7560,7591,7471","15580,4690,14250,4680,14250,14250,14250","LineString","166.38","56,59,68,92",3962,2456,-80.0507,42.5487,-80.31075,42.91551,2016-05-22,2016-08-29
"2456.4043","2022,2049,7465,9190,7463,9182,9168","35407,35407,14250,100230,14250,100230,100230","LineString","166.38","70,71,92",4043,2456,-80.1281,42.9863,-80.31075,42.91551,2015-07-20,2016-09-12
"2456.5240","7617,7617,6211,7614,7556,7610,7593,7611,7611,7611,7588,8676,7452,8644,8632,7462,8632,10442,10374,9195,9196,8637","14250,14250,4680,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,14250,4690,4760,100230,100230,14250","LineString","166.38","38,68,71,92",2456,5240,-80.31075,42.91551,-80.2913,43.2785,2016-07-19,2016-09-07
"2456.5756","9189","100230","LineString","166.38","71",2456,5756,-80.31075,42.91551,-81.8249,43.2497,2016-09-15,2016-09-16
