"id","dtCreated","name","shortName","shortDescription","fee_id"
251,2019-04-30,"CTT Test Project","CTTTEST","Where test data from dual mode receivers will go. ",9
252,2019-05-01,"New England Rusty Blackbird Project","NE RUBL","Post-breeding and migratory movements of Rusty Blackbirds from northern New England breeding populations",1
253,2019-05-01,"Audubon South Carolina Tower Network","ASCmotus","This is a coordinated effort to contribute to the Motus Tower effort with Audubon South Carolina Chapters, Bird Friendly Communities, and Partners. ",NA
254,2019-05-07,"BIRDMOVE - Wheatear spring migration 2019","BIRDMOVE_Spring2019","Wheatears tagged at the coast of Niedersachsen (Germany) in spring 2019.",1
255,2019-05-14,"GREY CHEEKED THRUSH FROM RUSSIA WITH LOVE","GCTH","We have tagged 10 GCHT in Chukotka (North-East Russia) with Lotek tags to see their migration strategies during passage to Latin America. ",9
256,2019-05-14,"Early Successional and Peatlands movement","ESPM","Post-fledging movements of amwo, gwwa, veer, boch, conw",1
257,2019-05-15,"Timucuan Bird Monitoring","TIMUBIRD","Receiving station at NPS Kingsley Plantation, Timucuan Ecological and Historic Preserve",2
258,2019-05-19,"Nicaragua - Reserva El Jaguar","REJ-Nicaragua","Passive Motus station at Reserva El Jaguar - Nicaragua.",1
259,2019-05-22,"Southeast NC Motus","SE.NC","UNCW erects a series of Motus towers in Southeastern North Carolina to study migratory behavior of sparrows.",1
260,2019-05-22,"COTE Interstate","Interstate","tracking family groups",1
261,2019-05-28,"Champlain Valley Motus Project","ChamplainValley","Use of Motus to track transmitters in the Champlain Valley of Vermont",NA
262,2019-06-04,"PUMA-Manitoba-2019","PUMA-M19","Tagging and tracking of Purple Martins in Manitoba for the light extension experiment.
",1
263,2019-06-04,"PUMA-Ontario-2019","PUMA-On19","Tagging and tracking of Purple Martins in Ontario for the third year.
",1
265,2019-06-06,"Gerson UMass Sonoran Desert Array","UMass Sonoran","Fall migratory movement tracking through Sonoran Desert",1
266,2019-06-14,"UMaine Migration Ecology","UMaine Migration","My lab is investigating migration ecology of Rusty Blackbird and Bicknell's Thrush. In the future, additional species may be added to our study. ",2
267,2019-06-15,"Purple Martin McGill ","PUMA McGill ","Tagging Purple Martin fledglings in southern Quebec",1
268,2019-06-17,"Chimney Swift Roost Networks","Swift roosts","We seek to understand how Chimney Swifts use roosts at a large spatial scale (southern NS).",1
269,2019-06-18,"Selva -  GHTH - Colombia - Andes","SELVA_GCTH_Andes","Gray-cheeked Thrush tagged in Central Colombia",1
270,2019-06-18,"Selva - Swainson's Thrush - Colombia","SWTH","All SWTHs from Selva Colombia",1
271,2019-06-18,"American Kestrel Relocation ","AMKE RELO","American Kestrels are relocated from area airports.",NA
273,2019-06-19,"Collaborative Western Canada Array","CanWest","Western array managed by Birds Canada with Environment and Climate Change Canada.",9
274,2019-06-24,"Michigan Upper Peninsula","Michigan -UP","Regional array on the Upper Peninsula of Michigan led by the Cooper Country Audubon. ",NA
275,2019-06-27,"School District of Indian River County, FL","Indian River County","Receiving station on Vero Beach High School",2
276,2019-06-28,"North Atlantic Population Canada Goose","NAP CAGO","Assessment of harvest rates, and timing of arrival and duration of stay for south-migrating North Atlantic Population Canada geese.",3
277,2019-06-29,"Hubbard Brook BTBW","HBEF BTBW","Tagging Black-throated blue warblers at Hubbard Brook Experimental Forest",1
278,2019-07-03,"Piping Plover Migratory Behavior","Plover Migration","Identify migratory locations of plovers",1
279,2019-07-15,"Lund Migration Research","Lund Migration","Research on physiological mechanisms of (partial) migration. We use different species that bred or stopover in southern Sweden.  ",1
280,2019-07-16,"BC Interior Thrushes","thrushes","Investigation migratory tendencies of SWTH in a sub-species hybrid zone in the Interior of British Columbia.",1
281,2019-07-19,"Great Plains Chihuahuan Desert Motus","GPCDMotus","A collaborative effort to expand the Motus network throughout the Great Plains and Chihuahuan Desert region.",1
282,2019-07-22,"Project Meadowlark","EAME","Exploring meadowlark migratory connectivity through the Virginia Working Landscapes landowner network",1
283,2019-07-31,"TRACKBIRD - Autumn songbird migration 2019","Autumn 2019","Songbirds tagged at the coast of Schleswig-Holstein (Germany) during autumn 2019 ",1
284,2019-07-31,"Hastings Motus","CNC","Motus tower on the Minnesota campus of Carpenter Nature Center.",1
285,2019-08-02,"CONI annual survivorship in coastal Louisiana","CONI-surv-LA","Tracking annual survivorship of Common Nighthawks nesting along the coast of Louisiana.",1
286,2019-08-15,"Parasitic Jaegers Migration","PAJA migration","Tracking the migration of arctic breeding parasitic jaeger",1
287,2019-08-19,"NCC Shorebird Monitoring Project Western Manitoba","NCC SB Mon","To track shorebird migration movements through the Oak Lake, Plum Lakes and Whitewater Lake.",NA
