name,styleUrl,longitude,latitude,altitude,description,LineString/tessellate,LineString/coordinates
Point 169,#icon-1739-0288D1-nodesc,-92.2779169,46.2816796,0,,,
Point 170,#icon-1739-0288D1-nodesc,-92.3658075,45.900724,0,,,
Point 171,#icon-1739-0288D1-nodesc,-92.5525751,45.6555313,0,,,
Point 172,#icon-1739-0288D1-nodesc,-92.7723016,45.3861171,0,,,
Point 173,#icon-1739-0288D1-nodesc,-92.6953973,44.9601452,0,,,
Point 174,#icon-1739-0288D1-nodesc,-92.1900262,44.9368188,0,,,
Point 175,#icon-1739-0288D1-nodesc,-91.554341,44.903497,0,,,
Point 176,#icon-1739-0288D1-nodesc,-91.0364618,44.9057021,0,,,
Point 177,#icon-1739-0288D1-nodesc,-90.542077,44.8434181,0,,,
Point 178,#icon-1739-0288D1-nodesc,-92.8052606,46.8030787,0,,,
Point 179,#icon-1739-0288D1-nodesc,-93.3985223,46.8105984,0,,,
Point 180,#icon-1739-0288D1-nodesc,-93.9478387,46.8181171,0,,,
Point 181,#icon-1739-0288D1-nodesc,-94.5411004,46.8256347,0,,,
Point 182,#icon-1739-0288D1-nodesc,-95.2112665,46.7955579,0,,,
Point 183,#icon-1739-0288D1-nodesc,-95.874189,46.823451,0,,,
Point 184,#icon-1739-0288D1-nodesc,-96.3868036,46.8481811,0,,,
Point 185,#icon-1739-0288D1-nodesc,-96.9471063,46.8707182,0,,,
Point 186,#icon-1739-0288D1-nodesc,-96.4417352,45.2161107,0,,,
Point 187,#icon-1739-0288D1-nodesc,-95.992817,45.105462,0,,,
Point 188,#icon-1739-0288D1-nodesc,-95.4419794,45.0843929,0,,,
Point 189,#icon-1739-0288D1-nodesc,-94.7718133,45.1154127,0,,,
Point 190,#icon-1739-0288D1-nodesc,-94.1785516,45.0455945,0,,,
Point 191,#icon-1739-0288D1-nodesc,-93.5633172,44.9834622,0,,,
Point 192,#icon-1739-0288D1-nodesc,-92.3658075,44.3505763,0,,,
Point 193,#icon-1739-0288D1-nodesc,-91.8274774,44.0749693,0,,,
Point 194,#icon-1739-0288D1-nodesc,-91.344079,43.7187226,0,,,
Point 195,#icon-1739-0288D1-nodesc,-91.0694208,43.3443678,0,,,
Point 196,#icon-1739-0288D1-nodesc,-90.9265985,43.0319694,0,,,
Point 197,#icon-1739-0288D1-nodesc,-95.6617059,41.8892046,0,,,
Medicine Lake National Wildlife Refuge,#icon-1739-0288D1-nodesc,-104.451272,48.483523,0,,,
Nybakken House,#icon-1739-0288D1-nodesc,-106.327661,48.593175,0,,,
Beck House,#icon-1739-0288D1-nodesc,-106.480194,48.663259,0,,,
Bowdoin National Wildlife Refuge,#icon-1739-0288D1-nodesc,-107.72942,48.393808,0,,,
Point 202,#icon-1739-0288D1-nodesc,-94.4978641,18.0698454,0,,,
Point 203,#icon-1739-0288D1-nodesc,-94.6187137,17.6882109,0,,,
Point 204,#icon-1739-0288D1-nodesc,-94.7011112,17.3110084,0,,,
Point 205,#icon-1739-0288D1-nodesc,-94.7780155,16.8804729,0,,,
Point 206,#icon-1739-0288D1-nodesc,-94.8549198,16.5016297,0,,,
Point 207,#icon-1739-0288D1-nodesc,-94.8936843,16.2203845,0,,,
Point 208,#icon-1739-0288D1-nodesc,-99.637474,36.8367921,0,,,
Point 209,#icon-1739-0288D1-nodesc,-98.7153808,36.7150879,0,,,
Point 210,#icon-1739-0288D1-nodesc,-98.1135535,36.3851591,0,,,
Point 211,#icon-1739-0288D1-nodesc,-97.0907686,36.1184351,0,,,
Point 212,#icon-1739-0288D1-nodesc,-97.1950335,36.0715438,0,,,
Point 213,#icon-1739-0288D1-nodesc,-97.0198637,36.0103097,0,,,
Point 214,#icon-1739-0288D1-nodesc,-95.852985,35.960722,0,,,
Line 215,#line-0288D1-1000-nodesc,-70.8457369,45.2250299,0,,,
Line 215,#line-0288D1-1000-nodesc,-67.033481,44.696415,0,,,
Line 216,#line-0288D1-1000-nodesc,-73.1501483,44.616505,0,,,
Line 216,#line-0288D1-1000-nodesc,-71.0023211,44.4677287,0,,,
Line 216,#line-0288D1-1000-nodesc,-70.2442645,43.6426645,0,,,
Line 217,#line-0288D1-1000-nodesc,-73.2595026,42.9154418,0,,,
Line 217,#line-0288D1-1000-nodesc,-70.9001886,42.9737473,0,,,
Line 219,#line-0288D1-1000-nodesc,-73.3981826,42.2887509,0,,,
Line 219,#line-0288D1-1000-nodesc,-71.7213943,42.4186532,0,,,
Line 220,#line-0288D1-1000-nodesc,-71.7007949,42.423722,0,,,
Line 220,#line-0288D1-1000-nodesc,-70.7889297,42.6958223,0,,,
Line 222,#line-0288D1-1000-nodesc,-73.5103337,41.5831255,0,,,
Line 222,#line-0288D1-1000-nodesc,-70.6731145,41.8496483,0,,,
49.070012	-122.968109,#icon-1739-0288D1-nodesc,-122.968109,49.070012,0,,,
11.31	-85.92,#icon-1739-0288D1-nodesc,-85.92,11.31,0,,,
11.20	-85.65,#icon-1739-0288D1-nodesc,-85.65,11.2,0,,,
13.29	-88.08,#icon-1739-0288D1-nodesc,-88.08,13.29,0,,,
31.5902	-110.5062,#icon-1739-0288D1-nodesc,-110.5062,31.5902,0,,,
36.438	-115.36,#icon-1739-0288D1-nodesc,-115.36,36.438,0,,,
49.024357	-123.052904,#icon-1739-0288D1-nodesc,-123.052904,49.024357,0,,,
49.155697	-123.195808,#icon-1739-0288D1-nodesc,-123.195808,49.155697,0,,,
49.164665	-123.118764,#icon-1739-0288D1-nodesc,-123.118764,49.164665,0,,,
40.961687	-111.928813,#icon-1739-0288D1-nodesc,-111.928813,40.961687,0,,,
32.36580102	-111.0477956,#icon-1739-0288D1-nodesc,-111.0477956,32.36580102,0,,,
31.53893193	-110.7607591,#icon-1739-0288D1-nodesc,-110.7607591,31.53893193,0,,,
42.5408333	-122.8465444,#icon-1739-0288D1-nodesc,-122.8465444,42.5408333,0,,,
Point 223,#icon-1739-0288D1-nodesc,-119.1190507,37.9608065,0,,,
"42.35, -109.77",#icon-1739-0288D1-nodesc,-109.77,42.35,0,,,
"42.33, -109.58",#icon-1739-0288D1-nodesc,-109.58,42.33,0,,,
"42.68, -109.93",#icon-1739-0288D1-nodesc,-109.93,42.68,0,,,
"42.68, -109.75",#icon-1739-0288D1-nodesc,-109.75,42.68,0,,,
"42.47, -109.6",#icon-1739-0288D1-nodesc,-109.6,42.47,0,,,
"42.47, -109.68",#icon-1739-0288D1-nodesc,-109.68,42.47,0,,,
"42.45, -109.7",#icon-1739-0288D1-nodesc,-109.7,42.45,0,,,
"42.73, -109.9",#icon-1739-0288D1-nodesc,-109.9,42.73,0,,,
"42.73, -109.85",#icon-1739-0288D1-nodesc,-109.85,42.73,0,,,
"42.78, -109.88",#icon-1739-0288D1-nodesc,-109.88,42.78,0,,,
"20°56'13.03""N 99°37'26.77""W",#icon-1739-0288D1-nodesc,-99.6241027777778,20.9369527777778,0,,,
" 28°58'30.50"" N	105°38'57.90""W",#icon-1739-0288D1-nodesc,-105.649416666667,28.9751388888889,0,,,
