deploymentID,tag_deploy_id,species_id
3476,12429,15570
4093,12881,14120
4787,28754,NULL
4732,21506,18890
7256,25883,42067
7891,35067,3770
6054,32420,45843
4130,34102,42067
8080,33832,45843
2800,4770,42067
6054,30107,42067
1105,2692,16820
3426,6561,4630
5473,26713,38790
7257,26680,45843
7736,33237,19520
3284,6255,16940
2349,2277,3580
2292,17717,14050
4219,17856,15580
5068,28867,NULL
690,915,4690
2349,1879,4690
4468,12271,4690
3488,9896,16780
3066,11889,4690
6180,34421,14050
4945,31143,7100
2948,8973,42067
5013,30767,4610
7419,22862,16290
4787,28574,NULL
2663,5641,18890
2763,1943,4690
5804,27264,121310
5552,26041,42067
7243,29594,36467
5111,34555,19500
3121,27527,18760
3729,28074,42067
5340,24509,14120
7905,34474,19030
5720,21621,4630
3127,15366,4750
8045,35476,15580
7852,34333,14050
3532,9073,16610
1558,891,4690
2854,5167,35407
4386,15155,16801
7864,34857,100580
7916,33975,5520
3267,9601,4690
1563,5786,18890
4752,20176,13460
2972,24299,4690
1927,4931,16820
5533,22257,15580
6187,36622,45843
4391,8108,4630
4289,12127,4680
5463,29263,125480
1141,1868,4690
4746,29280,125480
6187,30170,42067
2545,269,100230
2651,5658,7680
5521,28185,7871
5376,26201,45874
7425,34090,14050
1068,5716,16820
5013,32367,4610
7837,31793,4670
4726,24699,14050
4364,16468,36704
6187,36960,45843
648,1958,35407
2949,6398,42067
2377,1827,4690
2429,2027,35407
1958,4920,16820
4787,22663,4820
5298,30727,45843
3938,14506,14250
5156,22392,36308
5347,17261,NULL
5235,27969,42067
5000,18022,4760
2861,5768,18890
4543,16950,36467
2146,32045,NULL
4242,14509,45843
6115,30384,7680
7385,29359,15550
7760,38716,NULL
2504,1711,4690
3472,11929,4690
4175,2486,100430
2533,5656,18890
2272,4371,16620
3523,7591,14250
4366,14690,36466
7924,35914,15580
3602,15309,4690
4210,18890,15580
4555,14935,36308
3982,20450,15600
4292,8833,4680
5614,35685,4180
4658,29191,125480
7425,35149,14050
4387,26858,45843
3807,29977,42067
4522,21373,4680
1004,5736,16820
2292,11806,4690
4798,23967,14050
8460,37937,16890
2302,6056,35407
4682,21271,4670
5117,15627,16890
7831,38959,16610
5204,28318,4750
7448,31058,19160
6115,33959,7750
3473,9211,3580
6055,29988,42067
2289,1821,4690
4310,35238,125480
5756,24853,7720
0,29097,NULL
8479,37920,16890
6185,30348,45843
3178,1745,4690
3103,8805,4670
2949,8997,42067
3554,5905,5280
4284,15404,4690
3428,10837,15580
5728,27736,4690
5465,25089,125480
6151,29139,123690
7694,33882,42067
4624,21267,4670
3468,10948,4180
4790,18911,15580
3461,14200,4690
689,914,4690
1071,845,4690
5065,27369,4680
2902,6204,4680
4343,16002,45874
3944,13686,15580
4364,16325,15651
7463,35341,4700
7715,32808,14120
3861,26859,45843
4044,21292,4670
4640,28202,7720
3595,1406,4180
5383,24286,4690
4379,19151,4680
2292,17634,16900
4378,35606,36475
5293,27146,4180
3048,6191,4680
2790,5983,16820
3998,12506,15580
4083,13118,41600
8204,36409,7680
6210,34251,19520
3114,7052,4690
2661,4505,16820
4295,7680,16940
2285,1719,4760
1918,4966,16820
5183,20942,31383
7934,35302,16930
8468,37938,16890
0,5370,41384
2659,5659,7680
7700,28210,7720
7256,26859,45843
5611,36921,15651
4630,21214,4630
4328,25682,42067
