"tagDeployId","ts1","ts2","station1","station2","is_simul"
5779,1376485441,1376485451,11144,10324,FALSE
5774,1376488561,1376488565,11144,10324,FALSE
5778,1376488681,1376488683,11144,10324,FALSE
5781,1376495736,1376555445,10324,11144,FALSE
1257,1376502661,1376513662,10127,11594,FALSE
854,1376481601,1376525187,10362,10360,FALSE
855,1376481601,1376525241,10362,10360,FALSE
786,1376528556,1376528824,10356,10362,FALSE
786,1376528824,1376617238,10362,10356,FALSE
858,1376481601,1376528934,10362,10356,FALSE
845,1376481601,1376538398,10362,10360,FALSE
1255,1376506387,1376548209,10127,11594,FALSE
856,1376481601,1376551483,10362,10356,FALSE
5848,1373402507,1376565226,10322,11146,FALSE
859,1376481601,1376567062,10362,10360,FALSE
849,1376481601,1376567863,10362,10356,FALSE
857,1376481601,1376567904,10362,10356,FALSE
5782,1376571061,1376571076,11144,10324,FALSE
5807,1376571061,1376572162,11144,10324,FALSE
5784,1376573821,1376573849,11144,10324,FALSE
5805,1376574061,1376574194,11144,10324,FALSE
5804,1376583209,1377112603,11144,10324,FALSE
5801,1376567881,1376587468,11144,10324,FALSE
5806,1376568301,1376600127,11144,10324,FALSE
796,1375846919,1376606062,10360,10356,FALSE
851,1376481601,1376608332,10362,10356,FALSE
799,1375790401,1376612275,10362,10356,FALSE
846,1376481601,1376614161,10362,10356,FALSE
786,1376617238,1376641265,10356,10362,FALSE
1255,1376548513,1376638235,11594,10127,FALSE
786,1376641265,1376641385,10362,10360,FALSE
851,1376645579,1376645791,10356,10362,FALSE
851,1376645791,1376824872,10362,10360,FALSE
5752,1376648581,1376648583,11144,10324,FALSE
5808,1376649481,1376649995,11144,10324,FALSE
5755,1376649961,1376649963,11144,10324,FALSE
5761,1376650321,1376650332,11144,10324,FALSE
5758,1376650681,1376662688,11144,10324,FALSE
5756,1376651041,1376651049,11144,10324,FALSE
5908,1376652585,1376671168,10324,11581,FALSE
5809,1376653981,1376653989,11144,10324,FALSE
5812,1376654341,1376654348,11144,10324,FALSE
5775,1376653261,1376654512,11144,10324,FALSE
5813,1376655661,1376655694,11144,10324,FALSE
5787,1376657400,1376657401,10324,11144,FALSE
5787,1376657401,1376662872,11144,10324,FALSE
5754,1376659741,1376659767,11144,10324,FALSE
5802,1376660881,1376660893,11144,10324,FALSE
5796,1376661361,1376661367,11144,10324,FALSE
5783,1376663281,1376663429,11144,10324,FALSE
5795,1376664061,1376664103,11144,10324,FALSE
5908,1376671168,1376828995,11581,10324,FALSE
5889,1374842060,1376681625,10324,11146,FALSE
1254,1376684061,1376684188,10127,11594,FALSE
5803,1376685901,1376686022,11144,10324,FALSE
788,1376656525,1376686478,10356,10360,FALSE
5768,1376687761,1376701444,11144,10324,FALSE
797,1376642159,1376687879,10356,10360,FALSE
5788,1376570946,1376688606,11144,10324,FALSE
5947,1376689660,1376727964,11144,10324,FALSE
5755,1376655674,1376689676,10324,11144,FALSE
5768,1376701444,1376826295,10324,11144,FALSE
846,1376617940,1376705322,10356,10360,FALSE
5818,1376103647,1376720355,11496,10316,FALSE
792,1376641491,1376729295,10356,10360,FALSE
793,1376657350,1376732239,10356,10360,FALSE
849,1376641744,1376733793,10356,10360,FALSE
5781,1376555445,1376734170,11144,10324,FALSE
5763,1376735461,1376735993,11144,10324,FALSE
5786,1376407548,1376736207,10324,11144,FALSE
5786,1376736322,1376736484,11144,10324,FALSE
5799,1376736421,1376736422,11144,10324,FALSE
5764,1376736961,1376737795,11144,10324,FALSE
5770,1376739901,1376739964,11144,10324,FALSE
5810,1376739601,1376743744,11144,10324,FALSE
5767,1376744542,1377094393,11144,10324,FALSE
1266,1376612771,1376745290,10127,11594,FALSE
5769,1376745961,1376746681,11144,10324,FALSE
5762,1376746321,1376747796,11144,10324,FALSE
5765,1376748587,1376762658,11144,10324,FALSE
5766,1376751901,1376761822,11144,10324,FALSE
5760,1376754121,1376754424,11144,10324,FALSE
5759,1376754481,1376755922,11144,10324,FALSE
5753,1376756285,1376826102,11144,10324,FALSE
5774,1376656314,1376758213,10324,11144,FALSE
5774,1376758237,1376760596,11144,10324,FALSE
5903,1376592474,1376767684,10324,11144,FALSE
5903,1376767722,1376767882,11144,10324,FALSE
5903,1376767882,1376861526,10324,11144,FALSE
5759,1376769376,1376770777,10324,11144,FALSE
1264,1376691875,1376773691,10127,11594,FALSE
5769,1376746832,1376774814,10324,11144,FALSE
1260,1376703532,1376776812,10127,11594,FALSE
857,1376656795,1376777879,10356,10360,FALSE
787,1376656807,1376785352,10356,10360,FALSE
1261,1376653610,1376786509,11594,10127,FALSE
1266,1376786479,1376786991,11594,10127,FALSE
791,1376657118,1376793492,10356,10360,FALSE
5815,1376809252,1376810980,10316,11496,FALSE
5817,1376439194,1376811517,10316,11496,FALSE
5946,1376769241,1376822340,11581,11144,FALSE
5946,1376822354,1376966563,11144,10324,FALSE
832,1376418318,1376823881,10373,10378,FALSE
5777,1376823601,1376824045,11144,10324,FALSE
1262,1376802860,1376845698,11594,10127,FALSE
5757,1376750461,1376846915,11144,10324,FALSE
5788,1376758848,1376852874,10324,11144,FALSE
5798,1376753161,1376855970,11144,10324,FALSE
5776,1376831009,1376859276,11144,10324,FALSE
5903,1376861526,1376869982,11144,10324,FALSE
5769,1376864177,1376940343,11144,10324,FALSE
5760,1376756243,1376867828,10324,11144,FALSE
1253,1376625601,1376871651,10127,11594,FALSE
830,1376796999,1376873467,10373,10378,FALSE
839,1376704695,1376873491,10373,10378,FALSE
1253,1376871840,1376879217,11594,10127,FALSE
5821,1375684427,1376882457,10316,10324,FALSE
