"stationID","deployID","name","dtStart","dtEnd","nAnt","frequency","country","continent"
2468,3553,"West Galveston",2016-12-09,NA,2,"166.38",NA,NA
1979,3554,"Ryan_Leet",2013-04-19,2015-01-08,1,"166.38",NA,NA
2400,3557,"UWO - SSC",2016-11-25,2017-05-08,2,"166.38","CAN","North America"
235,3558,"Arkey's Acres",2016-11-25,2017-04-17,2,"166.38","CAN","North America"
1307,3559,"Lemoine Point C.A.",2016-11-13,2017-03-20,2,"166.38","CAN","North America"
670,3560,"Crysler Park Marina",2016-11-19,NA,3,"166.38","CAN","North America"
443,3561,"Brier2",2016-11-05,2017-04-09,2,"166.38",NA,NA
2195,3562,"Stanton2 (Digby Neck)",2016-11-05,2017-04-09,2,"166.38","CAN","North America"
1416,3563,"Marshalltown",2016-11-06,2017-04-09,2,"166.38","CAN","North America"
1221,3564,"Kejimkujik2",2016-11-06,2017-04-10,2,"166.38","CAN","North America"
2396,3565,"Upper Clements",2016-11-06,2017-04-10,2,"166.38","CAN","North America"
1073,3566,"Hampton2",2016-11-06,2017-04-10,2,"166.38","CAN","North America"
1560,3568,"Mount Thom",2016-11-18,2017-05-02,2,"166.38","CAN","North America"
807,3569,"East Walton",2016-11-08,2017-04-20,2,"166.38","CAN","North America"
2240,3570,"Tantramar School",2016-11-10,2017-04-19,2,"166.38","CAN","North America"
1813,3571,"Point Lepreau",2016-11-11,2017-05-10,2,"166.38",NA,NA
1179,3572,"Irving Nature Park 2",2016-11-12,2017-05-10,2,"166.38",NA,NA
524,3573,"Cape Enrage 2",2016-11-12,2017-04-26,2,"166.38",NA,NA
292,3574,"Beaubassin",2016-11-12,2017-04-17,2,"166.38","CAN","North America"
339,3575,"BISE",2014-07-29,2014-11-23,6,"166.38",NA,NA
338,3577,"BISE",2015-04-30,2015-12-06,6,"166.38",NA,NA
674,3580,"CTPT",2014-05-27,2014-11-09,6,"166.38",NA,NA
822,3582,"ELPT",2014-05-25,2014-11-08,6,"166.38",NA,NA
821,3583,"ELPT",2015-05-05,2015-10-10,6,"166.38",NA,NA
1004,3585,"GGIS",2014-06-29,2014-06-30,3,"166.38",NA,NA
1004,3590,"GGIS",2014-06-30,2014-10-12,3,"166.38",NA,NA
1004,3591,"GGIS",2015-06-20,2015-09-26,4,"166.38",NA,NA
1046,3592,"GTPF",2014-07-02,2014-10-23,NA,NA,NA,NA
1048,3593,"GTPT",2014-05-29,2014-11-10,6,"166.38",NA,NA
1513,3594,"MNTK",2014-07-18,2014-11-15,6,"166.38",NA,NA
1512,3595,"MNTK",2015-04-23,2015-11-15,6,"166.38",NA,NA
