sensorID,serialNumber
2090,SG-1215BBBK0682
1509,SG-1215BBBK1027
1637,SG-1215BBBK1027
2169,SG-1215BBBK1031
2331,SG-1215BBBK1031
2591,SG-1215BBBK1031
2604,SG-1215BBBK1158
1434,SG-1215BBBK1163
1418,SG-1215BBBK1171
2117,SG-1215BBBK1174
1432,SG-1215BBBK1404
1415,SG-1215BBBK1412
2083,SG-1215BBBK1742
2653,SG-1215BBBK1743
2164,SG-1215BBBK1749
2589,SG-1215BBBK1749
2087,SG-1215BBBK1769
2282,SG-1215BBBK1773
2163,SG-1215BBBK1778
2590,SG-1215BBBK1778
2268,SG-1215BBBK1791
2142,SG-1215BBBK1793
2928,SG-1215BBBK1793
2079,SG-1215BBBK1794
2173,SG-1215BBBK1796
3275,SG-1215BBBK1796
2080,SG-1215BBBK1803
1436,SG-1215BBBK1863
3805,SG-121ARPI379BB
2715,SG-1234BBBK4321
3071,SG-1234BBBK5678
3044,SG-1234RPI35678
2134,SG-1253RPI32253
3337,SG-12B0RPI3885A
2143,SG-1315BBBK0078
2193,SG-1315BBBK0083
4005,SG-1315BBBK0083
2131,SG-1315BBBK0085
2328,SG-1315BBBK0085
2286,SG-1315BBBK0088
2081,SG-1315BBBK0094
2291,SG-1315BBBK0099
2051,SG-1315BBBK0102
2260,SG-1315BBBK0104
1981,SG-1315BBBK0105
2337,SG-1315BBBK0105
2233,SG-1315BBBK0110
2139,SG-1315BBBK0113
1964,SG-1315BBBK0117
3613,SG-1315BBBK0117
2082,SG-1315BBBK0119
2141,SG-1315BBBK0120
2927,SG-1315BBBK0120
2044,SG-1315BBBK0126
2140,SG-1315BBBK0132
2202,SG-1315BBBK0136
2319,SG-1315BBBK0139
2162,SG-1315BBBK0141
2187,SG-1315BBBK0143
1671,SG-1316BBBK1032
3824,SG-1318RPI3D7F6
3847,SG-1362RPI3CA43
3822,SG-13B1RPI367FD
1700,SG-1415BBBK0382
1994,SG-1415BBBK0494
2688,SG-1476RPI3B893
3221,SG-14A9RPI3C3AC
3419,SG-14D1RPI39753
3476,SG-14D1RPI39753
2934,SG-14DDRPI303C3
2988,SG-14F1RPI323B6
2473,SG-1514BBBK1911
1154,SG-1514BBBK2341
1396,SG-1515BBBK0012
1431,SG-1515BBBK0028
1433,SG-1515BBBK0033
1435,SG-1515BBBK0045
1450,SG-1515BBBK0377
2998,SG-1516BBBK0BF9
2476,SG-1554RPI3A47A
3179,SG-1561RPI3F141
3744,SG-1561RPI3F141
2371,SG-1613BBBK2198
1997,SG-1614BBBK0731
439,SG-1614BBBK1591
2683,SG-1614BBBK1591
440,SG-1614BBBK1595
3310,SG-1614BBBK1595
441,SG-1614BBBK1603
1751,SG-1614BBBK1608
2549,SG-1614BBBK1608
3468,SG-1614BBBK1608
1283,SG-1614BBBK1609
467,SG-1614BBBK1611
1753,SG-1614BBBK1611
442,SG-1614BBBK1612
2659,SG-1614BBBK1612
443,SG-1614BBBK1613
444,SG-1614BBBK1615
2178,SG-1614BBBK1615
445,SG-1614BBBK1617
3024,SG-1614BBBK1617
446,SG-1614BBBK1618
566,SG-1614BBBK1620
1152,SG-1614BBBK1620
2429,SG-1614BBBK1620
479,SG-1614BBBK1631
1028,SG-1614BBBK1631
2930,SG-1614BBBK1631
447,SG-1614BBBK1634
448,SG-1614BBBK1635
449,SG-1614BBBK1638
641,SG-1614BBBK1655
450,SG-1614BBBK1659
2554,SG-1614BBBK1659
2996,SG-1614BBBK1659
451,SG-1614BBBK1660
452,SG-1614BBBK1662
453,SG-1614BBBK1663
1362,SG-1614BBBK1666
480,SG-1614BBBK1787
1029,SG-1614BBBK1787
2534,SG-1614BBBK1787
1849,SG-1614BBBK1793
1297,SG-1614BBBK1807
454,SG-1614BBBK1832
1331,SG-1614BBBK1836
455,SG-1614BBBK1869
456,SG-1614BBBK1870
1876,SG-1614BBBK1870
2000,SG-1614BBBK1878
457,SG-1614BBBK1880
458,SG-1614BBBK1883
648,SG-1614BBBK1884
481,SG-1614BBBK1885
1030,SG-1614BBBK1885
482,SG-1614BBBK1889
1031,SG-1614BBBK1889
1626,SG-1614BBBK1889
643,SG-1614BBBK1899
2376,SG-1614BBBK1899
459,SG-1614BBBK1900
578,SG-1614BBBK1901
1032,SG-1614BBBK1901
532,SG-1614BBBK1903
1153,SG-1614BBBK1903
1684,SG-1614BBBK1903
2368,SG-1614BBBK1903
1748,SG-1614BBBK1910
2550,SG-1614BBBK1910
460,SG-1614BBBK1911
2532,SG-1614BBBK1911
1401,SG-1614BBBK1911_1
647,SG-1614BBBK1913
483,SG-1614BBBK1915
461,SG-1614BBBK1916
462,SG-1614BBBK1919
2402,SG-1614BBBK1920
2548,SG-1614BBBK1920
2920,SG-1614BBBK1920
484,SG-1614BBBK1921
1033,SG-1614BBBK1921
2427,SG-1614BBBK1921
485,SG-1614BBBK1922
1034,SG-1614BBBK1922
2536,SG-1614BBBK1922
3272,SG-1614BBBK1922
463,SG-1614BBBK1923
1363,SG-1614BBBK1924
464,SG-1614BBBK1925
2172,SG-1614BBBK1925
1719,SG-1614BBBK1928
465,SG-1614BBBK1954
466,SG-1614BBBK1956
573,SG-1614BBBK1968
1035,SG-1614BBBK1968
2249,SG-1634RPI38648
2666,SG-1634RPI38648
2404,SG-1635RPI382AE
2545,SG-164FRPI2DF40
3184,SG-16CFRPI3D843
3453,SG-16CFRPI3D843
2463,SG-16DDRPI38664
1853,SG-1715BBBK0720
1440,SG-1715BBBK0746
1441,SG-1715BBBK0752
2960,SG-179ARPI32EC3
502,SG-1813BBBK1193
1211,SG-1813BBBK1193
1661,SG-1813BBBK1193
1053,SG-1813BBBK4711
1213,SG-1813BBBK4711
1355,SG-1813BBBK4711
1219,SG-1813BBBK5351
1194,SG-1814BBBK0342
2444,SG-1814BBBK0371
1265,SG-1814BBBK0404
1245,SG-1814BBBK0418
582,SG-1814BBBK0453
1217,SG-1814BBBK0453
1854,SG-1814BBBK0461
548,SG-1814BBBK0541
586,SG-1814BBBK0585
2048,SG-1814BBBK0607
2019,SG-1814BBBK0674
2345,SG-1814BBBK0769
1150,SG-1814BBBK0809
1263,SG-1814BBBK0810
1512,SG-1815BBBK0777
1439,SG-1815BBBK0991
1697,SG-1815BBBK1359
2599,SG-1816BBBK2137
2791,SG-1850RPI3F6B3
3097,SG-18AARPI34A71
2661,SG-18B8RPI3A01C
2384,SG-18DFRPI2062E
1214,SG-1913BBBK3123
1354,SG-1913BBBK3123
558,SG-1913BBBK3221
1216,SG-1913BBBK3221
551,SG-1913BBBK3258
1178,SG-1913BBBK3258
1218,SG-1913BBBK3356
1212,SG-1913BBBK3375
1406,SG-1913BBBK3375
2186,SG-1914BBBK0819
3575,SG-1914BBBK0825
2058,SG-1914BBBK0832
2285,SG-1914BBBK0833
2073,SG-1914BBBK0851
2231,SG-1914BBBK0855
2283,SG-1914BBBK0856
2421,SG-1914BBBK0863
2904,SG-1914BBBK0863
2057,SG-1914BBBK0866
2059,SG-1914BBBK0870
2149,SG-1914BBBK0872
2284,SG-1914BBBK0873
2060,SG-1914BBBK0875
2292,SG-1914BBBK0887
2295,SG-1914BBBK0893
2175,SG-1914BBBK0894
3576,SG-1914BBBK0907
2132,SG-1914BBBK0916
3709,SG-1914BBBK0925
