speciesID,scientific,english,french,code,sort,photo,group
16560,Setophaga petechia,Yellow Warbler,Paruline jaune,yelwar,15958,NULL,BIRDS
16580,Setophaga magnolia,Magnolia Warbler,Paruline à tête cendrée,magwar,15953,NULL,BIRDS
16600,Setophaga caerulescens,Black-throated Blue Warbler,Paruline bleue,btbwar,15972,NULL,BIRDS
16610,Setophaga coronata,Yellow-rumped Warbler,Paruline à croupion jaune,yerwar,15983,NULL,BIRDS
16620,Setophaga coronata coronata,Yellow-rumped Warbler (Myrtle),Paruline à croupion jaune (coronata),myrwar,15984,NULL,BIRDS
16690,Setophaga fusca,Blackburnian Warbler,Paruline à gorge orangée,bkbwar,15956,NULL,BIRDS
16700,Setophaga dominica,Yellow-throated Warbler,Paruline à gorge jaune,yetwar,15992,NULL,BIRDS
16770,Setophaga kirtlandii,Kirtland's Warbler,Paruline de Kirtland,kirwar,15936,NULL,BIRDS
16780,Setophaga discolor,Prairie Warbler,Paruline des prés,prawar,15999,NULL,BIRDS
16801,Setophaga palmarum palmarum,Palm Warbler (Western),Paruline à couronne rousse (palmarum),palwar3,15977,NULL,BIRDS
16810,Setophaga castanea,Bay-breasted Warbler,Paruline à poitrine baie,babwar,15955,NULL,BIRDS
16820,Setophaga striata,Blackpoll Warbler,Paruline rayée,bkpwar,15969,NULL,BIRDS
16890,Setophaga ruticilla,American Redstart,Paruline flamboyante,amered,15935,NULL,BIRDS
16900,Protonotaria citrea,Prothonotary Warbler,Paruline orangée,prowar,15876,NULL,BIRDS
16910,Helmitheros vermivorum,Worm-eating Warbler,Paruline vermivore,woewar1,15863,NULL,BIRDS
16920,Limnothlypis swainsonii,Swainson's Warbler,Paruline de Swainson,swawar,15877,NULL,BIRDS
16930,Seiurus aurocapilla,Ovenbird,Paruline couronnée,ovenbi1,15862,NULL,BIRDS
16940,Parkesia noveboracensis,Northern Waterthrush,Paruline des ruisseaux,norwat,15866,NULL,BIRDS
16950,Parkesia motacilla,Louisiana Waterthrush,Paruline hochequeue,louwat,15865,NULL,BIRDS
16960,Geothlypis formosa,Kentucky Warbler,Paruline du Kentucky,kenwar,15909,NULL,BIRDS
16970,Oporornis agilis,Connecticut Warbler,Paruline à gorge grise,conwar,15897,NULL,BIRDS
16980,Geothlypis philadelphia,Mourning Warbler,Paruline triste,mouwar,15904,NULL,BIRDS
17000,Geothlypis trichas,Common Yellowthroat,Paruline masquée,comyel,15919,NULL,BIRDS
17130,Setophaga citrina,Hooded Warbler,Paruline à capuchon,hoowar,15934,NULL,BIRDS
17150,Cardellina canadensis,Canada Warbler,Paruline du Canada,canwar,16078,NULL,BIRDS
17310,Icteria virens,Yellow-breasted Chat,Ictérie polyglotte,yebcha,15681,NULL,BIRDS
17670,Piranga rubra,Summer Tanager,Piranga vermillon,sumtan,16117,NULL,BIRDS
17680,Piranga olivacea,Scarlet Tanager,Piranga écarlate,scatan,16119,NULL,BIRDS
18570,Pipilo erythrophthalmus,Eastern Towhee,Tohi à flancs roux,eastow,15604,NULL,BIRDS
18760,Spizelloides arborea,American Tree Sparrow,Bruant hudsonien,amtspa,15476,NULL,BIRDS
18780,Spizella pallida,Clay-colored Sparrow,Bruant des plaines,clcspa,15428,NULL,BIRDS
18800,Spizella pusilla,Field Sparrow,Bruant des champs,fiespa,15431,NULL,BIRDS
18840,Chondestes grammacus,Lark Sparrow,Bruant à joues marron,larspa,15442,NULL,BIRDS
18870,Calamospiza melanocorys,Lark Bunting,Bruant noir et blanc,larbun,15443,NULL,BIRDS
18880,Passerculus sandwichensis,Savannah Sparrow,Bruant des prés,savspa,15551,NULL,BIRDS
18890,Passerculus sandwichensis princeps,Savannah Sparrow (Ipswich),Bruant des prés (princeps),ipsspa,15553,NULL,BIRDS
18900,Ammodramus savannarum,Grasshopper Sparrow,Bruant sauterelle,graspa,15415,NULL,BIRDS
18910,Centronyx bairdii,Baird's Sparrow,Bruant de Baird,baispa,15557,NULL,BIRDS
18940,Ammospiza nelsoni,Nelson's Sparrow,Bruant de Nelson,nstspa,15543,NULL,BIRDS
