deploymentID,port,frequency,type,true_bearing,height,angle
5454,1,166.38,custom,9.613297,NULL,NULL
5454,2,166.38,custom,249.6133,NULL,NULL
5454,3,166.38,custom,129.6133,NULL,NULL
5455,1,166.38,custom,189.9678,NULL,NULL
5455,2,166.38,custom,69.96784,NULL,NULL
5455,3,166.38,custom,309.9678,NULL,NULL
5456,1,166.38,custom,189.7884,NULL,NULL
5456,2,166.38,custom,69.78842,NULL,NULL
5456,3,166.38,custom,309.7884,NULL,NULL
5457,1,166.38,custom,10.06725,NULL,NULL
5457,2,166.38,custom,130.0673,NULL,NULL
5457,3,166.38,custom,70.06725,NULL,NULL
5458,1,166.38,custom,9.887281,NULL,NULL
5458,2,166.38,custom,129.8873,NULL,NULL
5458,3,166.38,custom,69.88728,NULL,NULL
5459,1,166.38,yagi-5,334.781,7.9,NULL
5459,2,166.38,yagi-9-laird,9.781027,7,NULL
5459,3,166.38,yagi-5,74.78103,6.5,NULL
5459,4,166.38,yagi-5,119.781,6,NULL
5460,1,166.38,yagi-9,15.86181,NULL,NULL
5460,2,166.38,yagi-5,348.8618,NULL,NULL
5461,1,166.38,yagi-9-laird,125.0348,NULL,NULL
5461,2,166.38,yagi-9-laird,297.0348,NULL,NULL
5461,3,166.38,yagi-9-laird,217.0348,NULL,NULL
5461,4,166.38,omni-whip,NULL,NULL,NULL
5462,1,166.38,yagi-9-laird,65.37745,8,0
5462,2,166.38,yagi-9-laird,185.3774,7.5,0
5462,3,166.38,yagi-9-laird,305.3774,7,0
5463,4,150.10,yagi-6,10.15205,NULL,NULL
5463,5,150.10,yagi-6,74.15205,NULL,NULL
5463,6,150.10,yagi-6,118.152,NULL,NULL
5463,7,150.10,yagi-6,178.152,NULL,NULL
5463,8,150.10,yagi-6,235.152,NULL,NULL
5463,9,150.10,yagi-6,302.152,NULL,NULL
5464,1,150.10,yagi-6,270.9846,NULL,5
5464,2,150.10,yagi-6,345.9846,NULL,5
5464,3,150.10,yagi-6,130.9845,NULL,5
5464,4,150.10,yagi-6,215.9845,NULL,5
5465,4,150.10,yagi-6,108.1511,NULL,NULL
5465,5,150.10,yagi-6,196.1511,NULL,NULL
5465,6,150.10,yagi-6,231.1511,NULL,NULL
5465,7,150.10,yagi-6,301.1511,NULL,NULL
5465,8,150.10,yagi-6,356.1511,NULL,NULL
5465,9,150.10,yagi-6,75.15114,NULL,NULL
5466,1,166.38,yagi-9,152.0084,NULL,NULL
5466,2,166.38,yagi-9,221.0084,NULL,NULL
5466,3,166.38,yagi-9,1.00841,NULL,NULL
3560,1,166.38,yagi-9-laird,51.41801,NULL,NULL
5467,1,150.10,yagi-6,26.45144,NULL,NULL
5467,2,150.10,yagi-6,321.4514,NULL,NULL
5467,3,150.10,yagi-6,146.4514,NULL,NULL
5467,4,150.10,yagi-6,211.4514,NULL,NULL
5468,1,150.10,yagi-6,270,NULL,NULL
5468,2,150.10,yagi-6,210,NULL,NULL
5468,3,150.10,yagi-6,150,NULL,NULL
5469,1,150.10,yagi-6,38.14204,NULL,NULL
5469,2,150.10,yagi-6,271.142,NULL,NULL
5469,3,150.10,yagi-6,125.142,NULL,NULL
5469,4,150.10,yagi-6,222.142,NULL,NULL
5470,1,166.38,yagi-9-maple,NULL,9,290
5470,2,166.38,yagi-9-maple,NULL,8,230
5470,3,166.38,yagi-9-maple,NULL,7,160
5471,1,151.50,yagi-5,NULL,NULL,NULL
5472,1,151.50,yagi-5,NULL,NULL,NULL
5472,3,151.50,yagi-5,NULL,NULL,NULL
5471,3,151.50,yagi-5,NULL,NULL,NULL
5473,1,151.50,omni-whip,NULL,1,NULL
5474,1,166.38,yagi-9-maple,NULL,NULL,NULL
5474,2,166.38,yagi-5,NULL,NULL,NULL
5475,1,166.38,monopole,NULL,4.5,0
5476,1,166.38,monopole,NULL,4,0
5477,1,166.38,yagi-9-laird,NULL,NULL,0
5477,2,166.38,yagi-9-laird,NULL,NULL,0
5477,3,166.38,yagi-9-laird,NULL,NULL,0
5477,4,166.38,yagi-9-laird,NULL,NULL,0
5478,1,166.38,yagi-9-laird,99.99452,NULL,0
5478,2,166.38,yagi-9-laird,189.9945,NULL,0
5478,3,166.38,yagi-9-laird,264.9945,NULL,0
5478,4,166.38,yagi-9-laird,359.9945,NULL,0
5479,1,166.38,yagi-9-laird,30.27455,2,NULL
5479,2,166.38,yagi-9-laird,300.2745,2,NULL
5481,1,166.38,yagi-3,255.2455,10,NULL
5481,2,166.38,yagi-3,210.2455,10,NULL
5481,3,166.38,yagi-3,345.2455,10,NULL
5482,1,166.38,yagi-3,334.7198,NULL,NULL
5482,2,166.38,yagi-3,230.7198,NULL,NULL
5410,3,166.38,yagi-9-laird,349.9069,NULL,NULL
5483,1,166.38,yagi-5,13.46095,10.7,NULL
5483,2,166.38,yagi-5,103.461,10.7,NULL
5483,3,166.38,yagi-5,193.461,10.7,NULL
5483,4,166.38,yagi-5,283.461,10.7,NULL
5484,1,166.38,yagi-9-laird,75.27974,9,NULL
5484,2,166.38,yagi-9-laird,345.2798,9,NULL
5484,3,166.38,yagi-9-laird,165.2797,9,NULL
5485,1,151.50,omni-whip,NULL,6,NULL
5486,1,166.38,yagi-5,167.6891,14.3,NULL
5486,2,166.38,yagi-9-laird,257.6891,14.9,NULL
5486,3,166.38,yagi-5,347.6891,14.3,NULL
5486,4,166.38,yagi-9-laird,77.68907,14.9,NULL
5486,5,434.00,yagi-6,77.68907,15.5,NULL
5486,6,434.00,yagi-6,257.6891,15.5,NULL
5486,7,434.00,yagi-6,347.6891,15.5,NULL
5486,8,434.00,yagi-6,167.6891,15.5,NULL
5487,1,166.38,yagi-5,167.911,29.2,NULL
5487,2,166.38,yagi-9-laird,257.911,29.8,NULL
5487,3,166.38,yagi-5,347.911,29.2,NULL
5487,4,166.38,yagi-9-laird,77.91103,29.8,NULL
5487,5,434.00,yagi-6,77.91103,30.5,NULL
5487,6,434.00,yagi-6,257.911,30.5,NULL
5487,7,434.00,yagi-6,347.911,30.5,NULL
5487,8,434.00,yagi-6,167.911,30.5,NULL
5488,1,166.38,yagi-5,168.1217,26.2,NULL
5488,2,166.38,yagi-9-laird,258.1217,26.8,NULL
5488,3,166.38,yagi-5,348.1217,26.2,NULL
5488,4,166.38,yagi-9-laird,78.12168,26.8,NULL
5488,5,434.00,yagi-6,78.12168,27.5,NULL
5488,6,434.00,yagi-6,258.1217,27.5,NULL
5488,7,434.00,yagi-6,348.1217,27.5,NULL
5488,8,434.00,yagi-6,168.1217,27.5,NULL
5489,1,166.38,yagi-5,347.5104,9.1,NULL
5489,2,166.38,yagi-9-laird,257.5104,9.7,NULL
5489,3,166.38,yagi-5,167.5104,9.1,NULL
5489,4,166.38,yagi-9-laird,77.51039,6,NULL
5489,5,434.00,yagi-6,77.51039,10.6,NULL
5489,6,434.00,yagi-6,257.5104,10.6,NULL
5489,7,434.00,yagi-6,347.5104,10.6,NULL
5489,8,434.00,yagi-6,167.5104,10.6,NULL
5490,1,166.38,yagi-9-laird,NULL,6,NULL
5490,2,166.38,yagi-9-laird,NULL,6,NULL
5490,3,166.38,yagi-9-laird,NULL,6,NULL
5491,1,166.38,yagi-9-laird,NULL,6,NULL
5491,2,166.38,yagi-9-laird,NULL,6,NULL
5491,3,166.38,yagi-9-laird,NULL,6,NULL
5492,1,151.50,none,NULL,5,NULL
5492,3,151.50,none,NULL,5,NULL
5493,1,166.38,custom-9,45.02029,2,0
5494,1,166.38,yagi-5,359.9591,5,0
5494,3,166.38,custom-9,279.9591,4,0
5495,1,166.38,custom-9,85.99445,3,0
5495,2,166.38,custom-6,265.9944,2,0
5496,1,150.10,yagi-6,167.1397,NULL,NULL
5496,2,150.10,yagi-6,186.1397,NULL,NULL
5496,3,150.10,yagi-6,278.1397,NULL,NULL
5496,4,150.10,yagi-6,337.1397,NULL,NULL
5496,5,150.10,yagi-6,47.13967,NULL,NULL
5496,6,150.10,yagi-6,70.13967,NULL,NULL
5498,1,166.38,yagi-5,270,6,NULL
5498,2,166.38,yagi-5,0,6,NULL
5498,3,166.38,yagi-5,90,6,NULL
5498,4,166.38,yagi-5,180,6,NULL
5501,1,166.38,omni-mast,NULL,4,90
5502,1,166.38,yagi-9-laird,109.3875,NULL,NULL
5502,2,166.38,yagi-9-laird,166.3875,NULL,NULL
5502,3,166.38,yagi-9-laird,355.3875,NULL,NULL
5502,4,166.38,yagi-9-laird,264.3875,NULL,NULL
5503,1,150.10,yagi-6,275.1421,NULL,NULL
5503,2,150.10,yagi-6,34.14204,NULL,NULL
5503,3,150.10,yagi-6,203.142,NULL,NULL
5503,4,150.10,yagi-6,149.142,NULL,NULL
5498,5,434.00,yagi-6,270,7.5,NULL
5498,6,434.00,yagi-6,0,7.5,NULL
5498,7,434.00,yagi-6,90,7.5,NULL
5504,1,166.38,custom-9,60.0494,5,0
5505,1,166.38,custom-9,229.9951,5,0
5506,1,166.38,yagi-9-laird,75.2591,9,NULL
5506,2,166.38,yagi-9-laird,165.2591,9,NULL
5506,3,166.38,yagi-9-laird,255.2591,9,NULL
5507,1,166.38,custom,NULL,NULL,NULL
5507,5,434.00,custom,NULL,NULL,NULL
5508,1,166.38,yagi-9,177.5614,10,0
5508,2,166.38,yagi-9,303.5614,10,0
5508,3,166.38,yagi-9,347.5614,10,0
5509,1,166.38,yagi-9-laird,249.5586,NULL,NULL
5509,2,166.38,yagi-9-laird,155.5586,NULL,NULL
5509,3,166.38,yagi-9-laird,73.55865,NULL,NULL
5510,1,166.38,omni-whip,63.56221,NULL,NULL
5511,1,166.38,monopole,NULL,8.2,NULL
5511,2,166.38,yagi-9-maple,127.6603,7.4,NULL
5511,3,166.38,yagi-9-maple,275.6603,6.1,NULL
5512,1,166.38,omni-mast,NULL,3,90
5513,1,166.38,omni-mast,NULL,4,90
5514,1,166.38,yagi-5,359.9525,5,0
5514,3,166.38,custom-9,279.9525,4,0
5515,1,166.38,custom-9,245,6,NULL
