stationID,date
10221,2021-11-10 19:30:00.000
10222,2022-05-21 06:25:26.703
10223,2022-04-30 21:43:40.000
10224,2021-09-16 15:04:24.000
10225,2022-05-21 09:46:36.910
10226,2022-04-14 15:00:00.000
10227,2022-05-21 06:49:08.000
10228,2022-05-21 06:49:08.000
10229,2020-03-11 13:10:23.537
10231,2021-06-30 16:00:00.000
10232,2022-05-21 06:39:06.000
10233,2022-04-29 18:43:12.000
10235,2021-05-16 20:25:25.000
10236,2021-03-01 22:00:00.000
10237,2021-03-01 22:00:00.000
10238,2021-03-01 22:00:00.000
10239,2022-04-27 12:45:24.993
10241,2022-05-21 06:10:07.000
10242,2003-01-01 23:59:00.000
10244,2022-05-21 07:01:00.000
10245,2021-10-05 15:57:40.797
10246,2022-05-21 09:40:37.133
10247,2022-05-21 06:54:07.000
10248,2022-04-09 17:42:27.083
10249,2022-01-12 18:48:44.503
10250,2021-11-04 03:03:30.277
10251,2021-11-02 17:38:20.043
10252,2022-02-01 12:00:00.000
10253,2022-05-21 06:49:07.000
10254,2022-05-21 06:54:07.000
10255,2022-05-01 14:44:13.000
10256,2021-09-21 03:38:38.000
10257,2021-05-17 23:37:04.000
10258,2022-05-21 09:12:58.663
10259,2022-04-04 12:49:14.777
10260,2021-12-18 11:37:16.000
10261,2021-11-03 15:39:53.000
10262,2021-11-01 00:19:08.000
10263,2022-05-09 12:32:31.000
10264,2022-05-21 06:57:15.000
10265,2021-10-06 19:02:37.000
10266,2021-12-06 20:43:55.037
10267,2021-12-16 05:36:28.810
10268,2022-05-21 06:53:36.000
10269,2022-05-01 09:17:36.000
10270,2022-05-21 07:56:45.847
10271,2022-05-21 06:19:02.000
10272,2022-05-06 21:22:04.000
10273,2022-05-21 09:12:16.000
10274,2021-05-25 07:14:16.290
10275,2022-05-20 17:15:59.857
10276,2022-02-17 14:50:29.180
10277,2022-05-18 23:44:25.000
10278,2021-10-22 19:51:01.067
10279,2021-04-01 16:30:28.200
10280,2022-05-21 07:00:57.000
10281,2022-05-19 14:27:54.000
10282,2021-10-07 03:57:43.000
10283,2022-05-12 23:40:49.000
10284,2022-05-16 00:00:22.300
10285,2022-05-16 00:25:33.647
10286,2022-05-16 00:11:10.000
10287,2022-05-21 06:51:21.213
10288,2022-05-21 08:19:39.903
10289,2022-05-21 07:09:28.000
10290,2022-05-21 06:49:07.000
10291,2022-05-21 06:52:50.000
10292,2022-05-21 07:04:03.000
10293,2021-09-27 17:00:46.000
10294,2021-08-12 16:45:56.077
10295,2019-05-28 04:19:34.000
10296,2019-05-28 02:25:32.427
10297,2022-05-21 06:44:03.000
10298,2022-05-17 18:48:06.157
10299,2022-05-21 06:45:04.000
10300,2022-05-21 06:31:15.000
10301,2022-05-21 06:20:09.810
10302,2022-05-21 06:59:21.000
10303,2013-10-30 00:00:00.000
10304,2013-10-30 00:00:00.000
10305,2014-05-28 00:00:00.000
10306,2015-11-03 14:50:00.000
10307,2014-08-17 16:00:00.000
10308,2013-09-29 13:20:00.000
10309,2014-11-04 00:00:00.000
10310,2014-11-04 00:00:00.000
10311,2014-11-04 00:00:00.000
10312,2016-10-27 18:35:00.000
10313,2016-10-24 20:25:00.000
10314,2014-11-04 00:00:00.000
10315,2013-06-22 22:40:00.000
10316,2013-10-31 23:59:00.000
10317,2013-08-02 18:00:00.000
10318,2014-05-27 00:00:00.000
10319,2014-10-02 00:00:00.000
10320,2014-05-26 00:00:00.000
10321,2013-05-08 12:20:00.000
10322,2013-08-19 13:00:00.000
10323,2013-08-15 00:00:00.000
10324,2018-09-15 16:59:33.000
10325,2015-10-26 23:59:00.000
10326,2014-11-04 00:00:00.000
10327,2014-11-04 00:00:00.000
10328,2014-11-04 00:00:00.000
10329,2014-05-18 00:00:00.000
10330,2014-05-17 00:00:00.000
10331,2015-11-03 00:00:00.000
10332,2015-10-09 00:00:00.000
10333,2014-10-10 00:00:00.000
10334,2014-10-21 00:00:00.000
10335,2014-10-29 00:00:00.000
10336,2014-10-07 00:00:00.000
10337,2015-10-11 00:00:00.000
10339,2014-10-15 14:51:14.643
10340,2013-12-03 00:00:00.000
10341,2013-09-27 00:00:00.000
10342,2014-10-05 00:00:00.000
10343,2014-10-28 00:00:00.000
10344,2013-09-04 09:27:49.643
10345,2014-10-09 00:00:00.000
10346,2014-10-09 00:00:00.000
10347,2014-10-09 00:00:00.000
10348,2015-09-29 10:00:00.000
10349,2014-10-08 00:00:00.000
10350,2013-08-10 20:43:23.523
10351,2014-10-07 00:00:00.000
10352,2014-10-14 00:00:00.000
10353,2013-09-24 00:00:00.000
10354,2015-09-29 11:00:00.000
10355,2014-10-06 00:00:00.000
10356,2013-10-09 00:00:00.000
10357,2013-09-23 00:00:00.000
10358,2014-10-05 00:00:00.000
10359,2013-10-09 00:00:00.000
10360,2013-09-26 00:00:00.000
10361,2014-10-07 23:59:00.000
10362,2013-09-18 00:00:00.000
10363,2015-09-29 18:39:25.000
10364,2013-09-27 00:00:00.000
10365,2016-07-15 00:01:00.000
10366,2015-09-04 12:40:00.000
10367,2014-10-06 00:00:00.000
10368,2013-10-09 00:00:00.000
10369,2014-10-10 00:00:00.000
10370,2016-06-27 00:01:00.000
10371,2013-06-23 13:20:00.000
10372,2013-09-25 00:00:00.000
10373,2013-09-23 00:00:00.000
