"projID","tagID","deployID","status","species","dtStart","dtEnd","lat","lon","frequency","model","manufacturer"
153,34992,22900,"terminated",4690,2019-05-22,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34993,22901,"terminated",4690,2019-05-22,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34994,22902,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34995,22903,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34996,22904,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34997,22905,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34998,22906,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34999,22907,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35000,22908,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35001,22909,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35002,22910,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35003,22911,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35004,22912,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35005,22913,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35006,22914,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35007,22915,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35008,22916,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35009,22917,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35010,22918,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35011,22919,"terminated",4690,2019-05-23,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35012,22920,"terminated",4690,2019-05-24,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35013,22921,"terminated",4690,2019-05-24,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35014,22922,"terminated",4690,2019-05-24,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35015,22923,"terminated",4690,2019-05-24,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,35016,22924,"terminated",4690,2019-05-24,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34636,22759,"terminated",4690,2019-05-13,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34637,22760,"terminated",4690,2019-05-13,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34638,22761,"terminated",4690,2019-05-13,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34639,22762,"terminated",4690,2019-05-13,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34640,22763,"terminated",4690,2019-05-13,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
3,33282,21680,"active",4690,2018-07-21,2019-06-17,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33283,21681,"active",4690,2018-07-21,2019-06-17,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
3,33284,21682,"active",4690,2018-07-21,2019-06-17,50.192778,-63.745278,166.38,"NTQB2-3-2","Lotek"
